,lengthofresidence,demo_currently_lives_in_address,is_business,ownrent,solarPotential.financialAnalyses.financialDetails.remainingLifetimeUtilityBill,householdincome,federalIncentive,solarPotential.financialAnalyses.financialDetails.costOfElectricityWithoutSolar,presenceofchildren,politicalparty,potential_age,is_apartment,maritalstatus,solarPotential.financialAnalyses.financialDetails.federalIncentive,solarPotential.financialAnalyses.leasingSavings.annualLeasingCost,solarPotential.financialAnalyses.cashPurchaseSavings.paybackYears,solarPotential.financialAnalyses.leasingSavings.savings.savingsYear20,demo_gender,education,remainingLifetimeUtilityBill,solarPotential.roofSegmentStats,solarPotential.financialAnalyses.leasingSavings.leasesAllowed,solarPotential.wholeRoofStats.areaMeters2,is_public_entity,solarPotential.maxSunshineHoursPerYear,solarPotential.financialAnalyses.leasingSavings.savings.savingsLifetime,solarPotential.financialAnalyses.financialDetails.utilityIncentive,householdsize,solarPotential.maxArrayAreaMeters2,solarPotential.financialAnalyses.financialDetails.percentageExportedToGrid,solarPotential.financialAnalyses.financialDetails.solarPercentage,solarPotential.financialAnalyses.leasingSavings.savings.savingsYear1,solarPotential.financialAnalyses.cashPurchaseSavings.outOfPocketCost,solarPotential.maxArrayPanelsCount,solarPotential.financialAnalyses.financialDetails.netMeteringAllowed,solarPotential.financialAnalyses.financialDetails.stateIncentive,solarPotential.financialAnalyses.leasingSavings.leasesSupported,solar_installed
lengthofresidence,1.0,-0.03747775795543159,-0.13441054741523442,0.7123801360510175,-0.060948176102699196,0.6252071246093671,0.12934003952825537,0.2590431894765727,0.5327456294633663,0.46716134642807405,0.09374684754074257,-0.034387684129548006,0.5377376053131027,0.12934003952825537,0.2137212229408593,0.11334167601020474,-0.06180632130530075,0.42561568775948205,0.4680544159098592,-0.060948176102699196,0.03905146831440808,-0.03169061220680826,-0.025845871660465668,-0.10650496096362136,0.060059098632177406,-0.06180632130530075,0.008286655874329866,0.05932737943341526,-0.029724656250194357,0.00986632090623187,0.010981196002585873,-0.09440977767315704,0.11917441421304555,-0.029724655985273532,0.10368757353802287,0.02912213244568099,0.10771263630010357,-0.3058301649946788
demo_currently_lives_in_address,-0.03747775795543159,1.0,0.04953296777982837,-0.08750443480868772,-0.025585008116604444,-0.07249572513610605,0.024725150403905313,0.006740111741607287,-0.07070765978962067,-0.11178037171731464,-0.03897637599186226,-0.24157984310222458,-0.11962858616331812,0.024725150403905313,0.02123987176691653,0.023857631522160846,-0.013368249550767049,-0.06982085221386788,-0.10837500713927015,-0.025585008116604444,-0.09699661857401423,0.014619642048211201,-0.03984934867381408,0.035789295197910506,-0.016521979505900446,-0.013368249550767049,-0.12492423621633429,-0.012640191179149936,-0.02744057283450294,-0.22796386302364427,0.028416021834388586,-0.015822512429834654,0.023321256055650965,-0.027440573482786862,0.02942697630937779,0.013234421690663929,-0.0070601177225751675,0.04029824786372262
is_business,-0.13441054741523442,0.04953296777982837,1.0,-0.18146522651327765,0.06910212285827189,-0.15535565099754914,0.11712305052743881,0.030178183096037637,-0.12735436448528847,-0.14546854475600726,-0.022532503665784756,-0.022748561512945693,-0.16531428294864023,0.11712305052743881,0.09259279319941437,0.0967911040255319,-0.1308001334323772,-0.18135186957797034,-0.1339122093772204,0.06910212285827189,0.006928355681007782,0.09887398481503983,0.004779676259064946,0.11648334290581691,0.04747376630516884,-0.1308001334323772,0.046584566584685926,0.010019057229090684,0.004861998292183923,-0.011119857391800906,0.014550914573800644,-0.12870325049210649,0.11959912073106066,0.004861998397174231,0.03076839182701362,0.2528704511374538,0.029895275739228084,0.15579505179121483
ownrent,0.7123801360510175,-0.08750443480868772,-0.18146522651327765,1.0,-0.0910969851805677,0.8660653683760994,0.14740557991862352,0.2997980440370276,0.6478415355251637,0.592002882472869,-0.09028971500135753,-0.03634450176869617,0.6655525524669027,0.14740557991862352,0.26635295001216036,0.16660572299392856,-0.08918031176762632,0.573203507312206,0.5450127379558442,-0.0910969851805677,0.08680806498669844,-0.07483573484018892,-0.02157489402930632,-0.14600685933806049,0.1499782450608826,-0.08918031176762632,0.024045454183912105,-0.040073958997034614,-0.030758511083429065,0.02323765175834954,0.008231896243583543,-0.1277573939321905,0.13325496360242844,-0.030758510895874273,0.14420313785544825,0.036237092427575605,0.15062628023741415,-0.3295559476733287
solarPotential.financialAnalyses.financialDetails.remainingLifetimeUtilityBill,-0.060948176102699196,-0.025585008116604444,0.06910212285827189,-0.0910969851805677,1.0,-0.06365736271261756,-0.19373656604488795,0.12858239448911477,-0.07297226588451745,-0.08971124287493344,-0.018921764732807777,0.02114623848295697,-0.07757381348639548,-0.19373656604488795,-0.12424689220639856,-0.09119115942996965,-0.1309799032310195,-0.07464983314664894,-0.0614022621399397,1.0,-0.11822649805067813,0.10654628218721209,-0.054135273767575036,0.057890826328614885,-0.1230474015539146,-0.1309799032310195,-0.1340709294547031,0.013163507151605374,-0.04694481412960008,0.14225808623297378,-0.850245104162922,-0.08419960212668913,-0.19499590315696083,-0.04694481424401304,-0.24071659366570994,-0.51509354264092,0.01000055364062014,0.0562191078634703
householdincome,0.6252071246093671,-0.07249572513610605,-0.15535565099754914,0.8660653683760994,-0.06365736271261756,1.0,0.12312125965815729,0.3087194222479077,0.5799731520916487,0.48533227828046915,-0.11708581083669273,-0.02715149264887981,0.5874106365891439,0.12312125965815729,0.22364121228472442,0.11375398032566392,-0.03458444402778107,0.4914065806107052,0.4823695490852661,-0.06365736271261761,0.10939221416074474,0.054522276164315306,-0.010943974294684836,-0.1302442058648653,0.07892869448423796,-0.03458444402778107,0.023267107440456868,-0.01909566036809193,-0.02253955943530656,0.02220763409957258,-0.006331810485439423,-0.07399594128214278,0.11057074230078531,-0.022539559251029264,0.11926085087083214,0.026131996352977683,0.1246922849942015,-0.2747210432529157
federalIncentive,0.12934003952825537,0.024725150403905313,0.11712305052743881,0.14740557991862352,-0.19373656604488795,0.12312125965815729,1.0,0.5315223450135297,0.1387676335559511,0.24144531828706933,-0.17898659985508486,-0.06836334457406433,0.2959673795843422,1.0,0.9392479949886151,0.7044286350613997,-0.7854610724755529,0.1445683324481041,0.2505588221222466,-0.1937365660448879,-0.005733942079426416,-0.08365555613848198,0.008887895582245325,0.09970983716142391,-0.2769854516500156,-0.7854610724755529,0.3077591438167345,-0.0064580586099259865,0.0101821509170202,-0.0058417536322207435,0.4148348055556592,-0.8436609064873807,0.9990176026013302,0.010182150713255832,-0.015785711970522642,0.940224765025213,-0.019350736841286856,-0.34505596494417246
solarPotential.financialAnalyses.financialDetails.costOfElectricityWithoutSolar,0.2590431894765727,0.006740111741607287,0.030178183096037637,0.2997980440370276,0.12858239448911477,0.3087194222479077,0.5315223450135297,1.0,0.24130418169764206,0.16845226768317878,-0.25990868574584713,-0.04512206154182192,0.2628149798410626,0.5315223450135296,0.6666668006279558,0.1792535723730322,-0.16850782441410603,0.11089991056140898,0.22317656624909415,0.12858239448911474,-0.020686507070650544,0.15738472417934307,-0.010197704239439153,0.0670364234372856,-0.23036085042285068,-0.16850782441410603,0.16773388972131198,0.036685982688274915,-0.008046309094670256,0.03327446189864965,0.09787090548351723,-0.27426685999888906,0.5305024934677234,-0.008046309186742416,-0.04659529592430717,0.13127141038543017,-0.011502219656815721,-0.3445558299397263
presenceofchildren,0.5327456294633663,-0.07070765978962067,-0.12735436448528847,0.6478415355251637,-0.07297226588451745,0.5799731520916487,0.1387676335559511,0.24130418169764206,1.0,0.44649913707681244,-0.07199416165461006,-0.037875831742482206,0.5110075389826261,0.13876763355595104,0.21311570786027043,0.13089071338310287,-0.07016626702806843,0.40077304378084555,0.418820924902578,-0.07297226588451745,0.06308623606420186,-0.02545187163971702,-0.015999171685024304,-0.10225573612104819,0.06037810654637027,-0.07016626702806843,0.0266215462193376,0.34822067774200266,-0.022418716757956106,0.009487183911019114,0.02161438413381721,-0.10113193257281186,0.12950196558937674,-0.022418716372335085,0.09148038584517772,0.038650802340629876,0.09553325410767084,-0.2405157517130016
politicalparty,0.46716134642807405,-0.11178037171731464,-0.14546854475600726,0.592002882472869,-0.08971124287493344,0.48533227828046915,0.24144531828706933,0.16845226768317878,0.44649913707681244,1.0,0.15858754903028055,-0.011487620341428719,0.7834566920688135,0.24144531828706933,0.28212172467667446,0.2540337285772294,-0.2162730027834855,0.46580109629360683,0.6932996704138636,-0.08971124287493346,0.047384634917712026,-0.15342901096375405,-0.007048629739024757,-0.09763677336109573,0.04560710913466635,-0.2162730027834855,0.013278597827806448,0.04125728518108339,-0.01244649172967809,0.02046392482024361,0.07259924648830313,-0.23585640051284684,0.23502889757669815,-0.012446491614786944,0.08159918784581498,0.026383541451418625,0.08706719647232586,-0.2491401268452764
potential_age,0.09374684754074257,-0.03897637599186226,-0.022532503665784756,-0.09028971500135753,-0.018921764732807777,-0.11708581083669273,-0.17898659985508486,-0.25990868574584713,-0.07199416165461006,0.15858754903028055,1.0,0.024301764333294888,0.15897898920083398,-0.17898659985508483,-0.18755214952929805,-0.06768495220071695,0.04839482489766154,0.030596857354723388,0.17522003206364567,-0.018921764732807763,0.015833542972600503,-0.10889635286308609,0.004508773028684692,0.013612026353931984,0.09802489220230037,0.04839482489766154,-0.03800508444381696,0.057301916090856296,0.0039869725246170626,0.017748794005660155,-0.020311228013000174,0.0792287766910909,-0.1786631924506984,0.003986972930420368,-0.04006220293031624,-0.2363156458777959,-0.037893053913958384,0.2098622541694463
is_apartment,-0.034387684129548006,-0.24157984310222458,-0.022748561512945693,-0.03634450176869617,0.02114623848295697,-0.02715149264887981,-0.06836334457406433,-0.04512206154182192,-0.037875831742482206,-0.011487620341428719,0.024301764333294888,1.0,-0.014226389708892109,-0.06836334457406433,-0.08034053963383045,-0.06691614126937136,0.06555461636312186,-0.024687500214070096,-0.0007148548164995198,0.021146238482956967,0.13444504918535635,-0.013046698195048551,0.11937383999625008,-0.009531936457329917,-0.02643712713628546,0.06555461636312186,0.05730441334976713,-0.023675009859579085,0.10300317792961923,0.02655598350296976,-0.015995009980155243,0.07108978785778555,-0.06674548567858744,0.10300317713325614,-0.017573412328629464,-0.09288035210393453,-0.010988015231204164,0.008425952912507957
maritalstatus,0.5377376053131027,-0.11962858616331812,-0.16531428294864023,0.6655525524669027,-0.07757381348639548,0.5874106365891439,0.2959673795843422,0.2628149798410626,0.5110075389826261,0.7834566920688135,0.15897898920083398,-0.014226389708892109,1.0,0.29596737958434227,0.3369915384247961,0.2707880725237333,-0.22114147881274868,0.4953131242904784,0.7447241063502236,-0.07757381348639544,0.046794952668264014,-0.07871073901640455,-0.014915837777939627,-0.11049188046504888,-0.02013209041902062,-0.22114147881274868,0.026238203541576185,0.07664454141456221,-0.021034789188679782,0.029394389296465647,0.07373278811149098,-0.2509301885418758,0.28921972990982275,-0.02103478900226001,0.08757224122410406,0.03677245263806116,0.09389551033588739,-0.29518886084518287
solarPotential.financialAnalyses.financialDetails.federalIncentive,0.12934003952825537,0.024725150403905313,0.11712305052743881,0.14740557991862352,-0.19373656604488795,0.12312125965815729,1.0,0.5315223450135296,0.13876763355595104,0.24144531828706933,-0.17898659985508483,-0.06836334457406433,0.29596737958434227,1.0,0.9392479949886151,0.7044286350613997,-0.7854610724755529,0.1445683324481041,0.2505588221222466,-0.1937365660448879,-0.005733942079426416,-0.08365555613848198,0.008887895582245325,0.09970983716142391,-0.2769854516500156,-0.7854610724755529,0.3077591438167345,-0.0064580586099259865,0.0101821509170202,-0.0058417536322207435,0.4148348055556592,-0.8436609064873807,0.9990176026013302,0.010182150713255832,-0.015785711970522642,0.940224765025213,-0.019350736841286856,-0.34505596494417246
solarPotential.financialAnalyses.leasingSavings.annualLeasingCost,0.2137212229408593,0.02123987176691653,0.09259279319941437,0.26635295001216036,-0.12424689220639856,0.22364121228472442,0.9392479949886151,0.6666668006279558,0.21311570786027043,0.28212172467667446,-0.18755214952929805,-0.08034053963383045,0.3369915384247961,0.9392479949886151,1.0,0.7180935112396492,-0.7890308066880263,0.2274330848820536,0.2797568255288733,-0.12424689220639862,0.03405741481492468,-0.1648802439708699,0.018763410157076606,0.09194760427039626,-0.14421606991489494,-0.7890308066880263,0.008136532952725631,-0.005578233297726183,0.017977627289220647,0.007116918227822878,0.34457675079855493,-0.8588301472966975,0.935155829253111,0.017977627092635406,-0.023123702005830367,0.8581623416128842,0.0425451567783367,-0.4072193269210624
solarPotential.financialAnalyses.cashPurchaseSavings.paybackYears,0.11334167601020474,0.023857631522160846,0.0967911040255319,0.16660572299392856,-0.09119115942996965,0.11375398032566392,0.7044286350613997,0.1792535723730322,0.13089071338310287,0.2540337285772294,-0.06768495220071695,-0.06691614126937136,0.2707880725237333,0.7044286350613997,0.7180935112396492,1.0,-0.8045299838281755,0.22993861698419504,0.22619697664052274,-0.09119115942996965,0.07510340011351696,-0.25413218629140205,0.032419647447010945,0.07041065050854099,0.0666554040074221,-0.8045299838281755,0.12953732081686414,-0.027287851724256323,0.02857676346426876,-0.03187927770709443,0.26558515240005676,-0.8145678901645743,0.6993602766703048,0.028576763329066123,0.032176438022465434,0.8960383719654272,0.015608778184422502,-0.2617674561282979
solarPotential.financialAnalyses.leasingSavings.savings.savingsYear20,-0.06180632130530075,-0.013368249550767049,-0.1308001334323772,-0.08918031176762632,-0.1309799032310195,-0.03458444402778107,-0.7854610724755529,-0.16850782441410603,-0.07016626702806843,-0.2162730027834855,0.04839482489766154,0.06555461636312186,-0.22114147881274868,-0.7854610724755529,-0.7890308066880263,-0.8045299838281755,1.0,-0.19312350883847737,-0.18081753848587678,-0.13097990323101952,-0.015381758475344683,0.3084513285195204,-0.012000862993097161,-0.09599380517259104,0.06381238966065313,1.0,0.09446890638409491,0.03232026937872315,-0.012120176251157697,-0.04068635166909936,-0.051052967839982054,0.9923169809048638,-0.7801639776810169,-0.012120176008985233,0.09176279726427605,-0.7414024958566285,-0.07154017390660991,0.26071560550319756
demo_gender,0.42561568775948205,-0.06982085221386788,-0.18135186957797034,0.573203507312206,-0.07464983314664894,0.4914065806107052,0.1445683324481041,0.11089991056140898,0.40077304378084555,0.46580109629360683,0.030596857354723388,-0.024687500214070096,0.4953131242904784,0.1445683324481041,0.2274330848820536,0.22993861698419504,-0.19312350883847737,1.0,0.40679823225178285,-0.07464983314664891,0.04261699782955895,-0.20585677292294277,-0.007370020366975402,-0.12511903861200194,0.1612193010721887,-0.1931235088384774,0.01811215341634957,-0.04640769301569278,-0.011270930024158094,0.01809755231523399,-0.017267945620031023,-0.2062220681936931,0.13390653195885746,-0.011270929792010796,0.09760092573595301,0.034301069185848146,0.10246662099745146,-0.33720720731531306
